Season,team,Games_L,Games_W,PointsScored_L,PointsScored_W,PointsAllowed_L,PointsAllowed_W,Margin_L,Margin_W
1985,1102,19,5,1159,355,1348,305,-189,50
1985,1103,14,9,772,632,910,564,-138,68
1985,1104,9,21,541,1514,584,1237,-43,277
1985,1106,14,10,968,751,1154,656,-186,95
1985,1108,6,19,444,1631,508,1368,-64,263
1985,1109,23,1,1238,54,1938,53,-700,1
1985,1110,18,7,1186,550,1442,488,-256,62
1985,1111,14,10,903,708,1044,634,-141,74
1985,1112,9,18,531,1265,562,1040,-31,225
1985,1113,16,11,1004,824,1193,745,-189,79
1985,1114,13,17,851,1306,980,1113,-129,193
1985,1116,12,21,708,1448,805,1231,-97,217
1985,1117,14,11,874,727,1030,643,-156,84
1985,1119,13,15,817,1039,917,950,-100,89
1985,1120,11,18,732,1308,838,1095,-106,213
1985,1121,19,7,1115,548,1480,495,-365,53
1985,1122,17,6,1081,387,1304,361,-223,26
1985,1123,16,13,1132,1093,1271,906,-139,187
1985,1124,17,7,1246,637,1449,544,-203,93
1985,1126,19,6,1259,419,1598,399,-339,20
1985,1129,13,12,833,845,947,696,-114,149
1985,1130,10,16,647,1300,709,1101,-62,199
1985,1131,14,14,919,997,1044,818,-125,179
1985,1132,15,11,961,791,1106,712,-145,79
1985,1133,12,16,806,1163,906,1020,-100,143
1985,1134,13,11,809,842,958,710,-149,132
1985,1135,18,8,1160,576,1293,518,-133,58
1985,1137,10,15,676,1099,767,951,-91,148
1985,1139,8,16,519,1117,610,1001,-91,116
1985,1140,14,15,1056,1119,1169,990,-113,129
1985,1141,18,6,1218,445,1401,407,-183,38
1985,1143,15,10,882,616,1049,505,-167,111
1985,1144,21,2,1249,126,1562,118,-313,8
1985,1145,9,18,547,1384,624,1089,-77,295
1985,1147,20,4,1210,319,1520,286,-310,33
1985,1149,13,10,794,728,944,648,-150,80
1985,1150,21,4,1385,299,1687,264,-302,35
1985,1151,7,19,429,1382,514,1186,-85,196
1985,1152,11,14,766,1046,871,889,-105,157
1985,1153,13,14,805,918,995,818,-190,100
1985,1154,10,15,723,1162,849,1031,-126,131
1985,1155,12,15,797,1214,933,1005,-136,209
1985,1156,8,18,622,1446,679,1217,-57,229
1985,1159,21,1,966,60,1225,52,-259,8
1985,1160,17,8,1136,636,1370,576,-234,60
1985,1161,12,16,729,1186,849,1019,-120,167
1985,1162,13,12,719,769,863,670,-144,99
1985,1163,15,13,967,1024,1128,865,-161,159
1985,1165,12,12,706,767,813,605,-107,162
1985,1166,12,13,787,1015,956,898,-169,117
1985,1168,13,16,840,1162,957,1013,-117,149
1985,1171,20,5,1219,342,1514,306,-295,36
1985,1172,19,8,1187,610,1338,543,-151,67
1985,1173,9,19,603,1344,676,1133,-73,211
1985,1174,14,11,934,776,1125,704,-191,72
1985,1175,15,10,938,781,1132,680,-194,101
