Season,Team,pointsFor,pointsAgainst,Wins,Losses,Awins,Hwins,Nwins,Hloss,Aloss,Nloss,Seed,SeedNum,BestWin,BestWinSeed,BestWinWin%
1985,1102,1514,1653,5,19,3,2,0,8,9,2,,,1140.0,,0.5172413793103449
1985,1103,1404,1474,9,14,2,7,0,6,8,0,,,1293.0,,0.6666666666666666
1985,1104,2055,1821,21,9,5,15,1,1,6,2,X07,7.0,1208.0,6.0,0.7037037037037037
1985,1106,1719,1810,10,14,1,8,1,1,10,3,,,1380.0,16.0,0.6428571428571429
1985,1108,2075,1876,19,6,8,8,3,1,4,1,,,1380.0,16.0,0.6428571428571429
1985,1109,1292,1991,1,23,0,1,0,7,16,0,,,1253.0,,0.08
1985,1110,1736,1930,7,18,1,4,2,5,11,2,,,1183.0,,0.6296296296296297
1985,1111,1611,1678,10,14,3,5,2,4,9,1,,,1151.0,,0.7307692307692307
1985,1112,1796,1602,18,9,7,11,0,3,5,1,X10,10.0,1409.0,6.0,0.7586206896551724
1985,1113,1828,1938,11,16,3,7,1,5,8,3,,,1333.0,10.0,0.7241379310344828
1985,1114,2157,2093,17,13,8,8,1,2,9,2,,,1204.0,,0.8
1985,1116,2156,2036,21,12,4,10,7,1,8,3,X09,9.0,1409.0,6.0,0.7586206896551724
1985,1117,1601,1673,11,14,4,7,0,5,7,2,,,1249.0,,0.6333333333333333
1985,1119,1856,1867,15,13,3,9,3,2,9,2,,,1233.0,13.0,0.8620689655172413
1985,1120,2040,1933,18,11,5,8,5,4,6,1,Z11,11.0,1412.0,7.0,0.7333333333333333
1985,1121,1663,1975,7,19,2,5,0,5,14,0,,,1441.0,,0.44
1985,1122,1468,1665,6,17,2,3,1,5,10,2,,,1464.0,,0.5925925925925926
1985,1123,2225,2177,13,16,3,9,1,4,10,2,,,1275.0,12.0,0.6428571428571429
1985,1124,1883,1993,7,17,1,6,0,6,8,3,,,1374.0,5.0,0.7333333333333333
1985,1126,1678,1997,6,19,3,2,1,4,13,2,,,1354.0,,0.375
1985,1129,1678,1643,12,13,4,8,0,6,7,0,,,1285.0,,0.72
1985,1130,1947,1810,16,10,7,5,4,2,5,3,Y11,11.0,1393.0,7.0,0.7241379310344828
1985,1131,1916,1862,14,14,9,4,1,5,7,2,,,1145.0,,0.6666666666666666
1985,1132,1752,1818,11,15,2,8,1,5,7,3,,,1185.0,,0.5185185185185185
1985,1133,1969,1926,16,12,7,9,0,5,7,0,,,1396.0,8.0,0.8275862068965517
1985,1134,1651,1668,11,13,2,8,1,3,9,1,,,1432.0,,0.4782608695652174
1985,1135,1736,1811,8,18,3,4,1,4,13,1,,,1217.0,,0.5714285714285714
1985,1137,1775,1718,15,10,7,5,3,3,6,1,,,1248.0,,0.5
1985,1139,1636,1611,16,8,6,10,0,2,5,1,,,1323.0,7.0,0.7142857142857143
1985,1140,2175,2159,15,14,4,9,2,5,7,2,,,1449.0,5.0,0.7096774193548387
1985,1141,1663,1808,6,18,0,4,2,5,12,1,,,1245.0,,0.5714285714285714
1985,1143,1498,1554,10,15,2,7,1,5,9,1,,,1333.0,10.0,0.7241379310344828
1985,1144,1375,1680,2,21,1,1,0,6,13,2,,,1149.0,,0.43478260869565216
1985,1145,1931,1713,18,9,7,10,1,3,6,0,,,1373.0,,0.7407407407407407
1985,1147,1529,1806,4,20,2,2,0,9,9,2,,,1322.0,,0.041666666666666664
1985,1149,1522,1592,10,13,4,4,2,3,10,0,,,1432.0,,0.4782608695652174
1985,1150,1684,1951,4,21,0,3,1,10,9,2,,,1443.0,,0.48148148148148145
1985,1151,1811,1700,19,7,6,11,2,1,4,2,,,1267.0,15.0,0.6129032258064516
1985,1152,1812,1760,14,11,7,7,0,0,11,0,,,1380.0,16.0,0.6428571428571429
1985,1153,1723,1813,14,13,3,9,2,2,8,3,,,1412.0,7.0,0.7333333333333333
1985,1154,1885,1880,15,10,4,10,1,0,7,3,,,1151.0,,0.7307692307692307
1985,1155,2011,1938,15,12,3,11,1,4,7,1,,,1210.0,2.0,0.7741935483870968
1985,1156,2068,1896,18,8,7,11,0,2,6,0,,,1183.0,,0.6296296296296297
1985,1159,1026,1277,1,21,0,1,0,9,11,1,,,1171.0,,0.2
1985,1160,1772,1946,8,17,0,8,0,4,13,0,,,1235.0,13.0,0.5862068965517241
1985,1161,1915,1868,16,12,5,10,1,3,8,1,,,1361.0,13.0,0.7666666666666667
1985,1162,1488,1533,12,13,5,6,1,5,6,2,,,1217.0,,0.5714285714285714
1985,1163,1991,1993,13,15,3,8,2,3,7,5,,,1393.0,7.0,0.7241379310344828
1985,1165,1473,1418,12,12,5,7,0,3,7,2,,,1265.0,,0.5714285714285714
1985,1166,1802,1854,13,12,4,9,0,3,9,0,,,1229.0,9.0,0.7407407407407407
1985,1168,2002,1970,16,13,5,8,3,5,7,1,,,1337.0,14.0,0.7407407407407407
1985,1171,1561,1820,5,20,1,4,0,8,11,1,,,1217.0,,0.5714285714285714
1985,1172,1797,1881,8,19,4,4,0,3,8,8,,,1154.0,,0.6
1985,1173,1947,1809,19,9,4,15,0,2,7,0,Z09,9.0,1260.0,4.0,0.8333333333333334
1985,1174,1710,1829,11,14,3,8,0,2,9,3,,,1259.0,,0.5185185185185185
1985,1175,1719,1812,10,15,3,6,1,2,10,3,,,1299.0,16.0,0.6666666666666666
1985,1177,1935,1728,18,9,4,13,1,1,8,0,W10,10.0,1229.0,9.0,0.7407407407407407
1985,1178,1990,1983,15,12,5,9,1,3,7,2,,,1272.0,2.0,0.896551724137931
1985,1179,1565,1643,9,15,1,7,1,5,9,1,,,1166.0,,0.52
1985,1180,1875,2022,10,18,5,4,1,7,8,3,,,1137.0,,0.6
1985,1181,2298,1969,22,7,6,12,4,3,3,1,Y03,3.0,1210.0,2.0,0.7741935483870968
1985,1182,1715,1920,9,18,3,3,3,9,7,2,,,1396.0,8.0,0.8275862068965517
1985,1183,2012,1902,17,10,8,9,0,2,6,2,,,1152.0,,0.56
1985,1184,1605,1617,12,13,5,6,1,3,8,2,,,1293.0,,0.6666666666666666
1985,1185,2030,2006,14,13,5,9,0,3,9,1,,,1156.0,,0.6923076923076923
1985,1186,1485,1654,8,15,1,7,0,5,10,0,,,1183.0,,0.6296296296296297
1985,1187,1594,1833,4,21,0,3,1,8,12,1,,,1131.0,,0.5
1985,1190,1721,1908,8,18,1,6,1,5,12,1,,,1154.0,,0.6
1985,1191,1910,2008,11,16,1,9,1,5,11,0,,,1139.0,,0.6666666666666666
1985,1192,1901,1812,19,9,6,9,4,1,7,1,Z16,16.0,1265.0,,0.5714285714285714
1985,1193,2001,2125,10,17,6,3,1,7,7,3,,,1233.0,13.0,0.8620689655172413
1985,1196,2027,1916,17,11,6,9,2,4,5,2,,,1104.0,7.0,0.7
1985,1197,1757,1879,8,16,2,6,0,3,11,2,,,1273.0,15.0,0.7142857142857143
1985,1199,1938,1914,10,16,2,5,3,5,9,2,,,1439.0,9.0,0.7037037037037037
1985,1200,2018,1912,19,11,8,8,3,1,6,4,,,1373.0,,0.7407407407407407
1985,1201,1665,1531,20,8,6,12,2,1,4,3,,,1424.0,4.0,0.9
1985,1202,1609,1794,5,21,2,3,0,10,9,2,,,1241.0,,0.46153846153846156
1985,1203,1886,1776,13,14,3,9,1,4,7,3,,,1452.0,,0.6923076923076923
1985,1204,1720,1493,20,5,8,11,1,2,3,0,,,1223.0,,0.68
1985,1206,2197,2055,17,11,7,8,2,3,7,1,,,1298.0,13.0,0.8214285714285714
1985,1207,2045,1622,25,2,6,12,7,1,1,0,W01,1.0,1385.0,1.0,0.9
1985,1208,2095,1841,19,8,6,10,3,2,6,0,W06,6.0,1210.0,2.0,0.7741935483870968
1985,1209,1718,2199,1,25,0,1,0,7,16,2,,,1121.0,,0.2692307692307692
1985,1210,2198,1908,24,7,5,14,5,3,4,0,W02,2.0,1181.0,3.0,0.7586206896551724
1985,1211,1424,1459,12,13,3,8,1,3,10,0,,,1266.0,,0.6428571428571429
1985,1212,1472,1744,6,18,0,6,0,6,12,0,,,1106.0,,0.4166666666666667
1985,1215,1632,1715,8,17,2,5,1,6,10,1,,,1273.0,15.0,0.7142857142857143
1985,1216,1703,1961,6,20,1,5,0,5,15,0,,,1427.0,,0.64
1985,1217,1360,1346,12,9,6,6,0,4,5,0,,,1335.0,15.0,0.5
1985,1218,1945,2046,10,18,1,9,0,10,8,0,,,1361.0,13.0,0.7666666666666667
1985,1220,1885,1921,11,15,1,7,3,2,12,1,,,1365.0,,0.6666666666666666
1985,1221,1859,2026,8,19,1,7,0,6,11,2,,,1233.0,13.0,0.8620689655172413
1985,1222,2008,1993,13,13,2,10,1,3,8,2,,,1403.0,6.0,0.7586206896551724
1985,1223,1708,1593,17,8,6,10,1,1,6,1,,,1204.0,,0.8
1985,1224,1729,1639,16,10,5,8,3,3,6,1,,,1192.0,16.0,0.6785714285714286
1985,1225,1845,2025,5,21,1,3,1,8,11,2,,,1360.0,,0.5217391304347826
1985,1226,2079,2135,10,18,2,5,3,5,10,3,,,1451.0,,0.6538461538461539
1985,1227,1824,1925,13,13,4,7,2,5,6,2,,,1325.0,14.0,0.7407407407407407
1985,1228,2115,1778,23,8,4,14,5,0,7,1,W03,3.0,1276.0,1.0,0.8928571428571429
1985,1229,1933,1772,20,7,6,11,3,3,4,0,Y09,9.0,1409.0,6.0,0.7586206896551724
1985,1231,1965,1839,15,13,6,7,2,7,6,0,,,1276.0,1.0,0.8928571428571429
1985,1232,1986,2046,11,15,4,7,0,4,11,0,,,1409.0,6.0,0.7586206896551724
1985,1233,2159,1946,25,4,5,13,7,0,4,0,W13,13.0,1200.0,,0.6333333333333333
1985,1234,2092,1778,20,10,3,15,2,3,6,1,X08,8.0,1403.0,6.0,0.7586206896551724
1985,1235,2086,1977,17,12,4,10,3,3,5,4,Y13,13.0,1242.0,3.0,0.7666666666666667
1985,1238,1600,1745,8,16,1,7,0,3,13,0,,,1311.0,,0.6521739130434783
1985,1239,1855,1806,13,14,3,8,2,5,6,3,,,1330.0,12.0,0.6206896551724138
1985,1241,1614,1659,12,14,3,8,1,4,7,3,,,1433.0,2.0,0.8333333333333334
1985,1242,2281,2112,23,7,6,14,3,0,4,3,Z03,3.0,1272.0,2.0,0.896551724137931
1985,1243,1779,1759,12,14,2,9,1,5,9,0,,,1266.0,,0.6428571428571429
1985,1245,2023,1985,16,12,4,10,2,2,9,1,,,1325.0,14.0,0.7407407407407407
1985,1246,1837,1771,16,12,4,11,1,3,8,1,X12,12.0,1242.0,3.0,0.7666666666666667
1985,1247,2060,2096,15,13,7,5,3,4,7,2,,,1200.0,,0.6333333333333333
1985,1248,1638,1665,13,13,5,7,1,4,8,1,,,1137.0,,0.6
1985,1249,2240,2013,19,11,6,11,2,2,9,0,,,1256.0,5.0,0.9285714285714286
1985,1250,1907,2036,11,18,4,4,3,8,7,3,W16,16.0,1137.0,,0.6
1985,1253,1601,1877,2,23,2,0,0,11,12,0,,,1363.0,,0.5185185185185185
1985,1254,1776,1795,11,13,2,7,2,1,10,2,,,1192.0,16.0,0.6785714285714286
1985,1256,2170,1815,26,2,11,13,2,0,1,1,Y05,5.0,1249.0,,0.6333333333333333
1985,1257,1923,1928,14,14,3,10,1,5,7,2,,,1433.0,2.0,0.8333333333333334
1985,1258,1532,1642,7,16,5,2,0,7,9,0,,,1168.0,,0.5517241379310345
1985,1259,1884,1882,14,13,3,11,0,4,9,0,,,1192.0,16.0,0.6785714285714286
1985,1260,2575,2372,25,5,10,13,2,0,5,0,W04,4.0,1228.0,3.0,0.7419354838709677
1985,1261,2074,1935,19,9,6,13,0,2,6,1,Z04,4.0,1260.0,4.0,0.8333333333333334
1985,1263,1850,2012,10,17,2,8,0,5,11,1,,,1145.0,,0.6666666666666666
1985,1264,1803,1919,8,20,2,6,0,3,13,4,,,1389.0,,0.5
1985,1265,1753,1648,16,12,6,8,2,5,7,0,,,1192.0,16.0,0.6785714285714286
1985,1266,1841,1666,18,10,5,13,0,3,6,1,,,1260.0,4.0,0.8333333333333334
1985,1267,2295,2138,19,12,6,9,4,6,5,1,X15,15.0,1204.0,,0.8
